"Sr. No.","State","Hon'ble Members of Parliament","Elected/Nominated","Allocated AMOUNT ( ₹ )"
"43","Jharkhand","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","227628508.2"
"44","Karnataka","Shri Ajay Makan (2024-30) (2024-2030)","Elected MP","147000000"
"45","Bihar","Shri Akhilesh Prasad Singh (2024-30) (2024-2030)","Elected MP","186200000"
"46","Uttar Pradesh","Shri Amar Pal Maurya (2024-30) (2024-2030)","Elected MP","147000000"
"47","Telangana","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","147000000"
"48","Himachal Pradesh","Shri Anurag Sharma (2026-32) (2026-2032)","Elected MP","49000000"
"49","Uttar Pradesh","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","223492764.11"
"50","Madhya Pradesh","Shri Ashok Singh (2024-30) (2024-2030)","Elected MP","147000000"
"51","Maharashtra","Shri Ashokrao Shankarrao Chavan (2024-30) (2024-2030)","Elected MP","147000000"
"52","Odisha","Shri Ashwini Vaishnaw (2024-30) (2024-2030)","Elected MP","265563957.11"
"53","Telangana","Shri B. Parthasaradhi Reddy (2022-28) (2022-2028)","Elected MP","244365104"
"54","Uttar Pradesh","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","196063957.11"
"55","Gujarat","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","171500000"
"56","Uttar Pradesh","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","196063957.11"
"57","Jharkhand","Shri Baidyanath Ram (2026-32) (2026-2032)","Elected MP","49000000"
"58","Madhya Pradesh","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","147000000"
"59","Madhya Pradesh","Shri Banshilal Gurjar (2024-30) (2024-2030)","Elected MP","147000000"
"60","Andhra Pradesh","Shri Bhashyam Rama Krishna (2026-32) (2026-2032)","Elected MP","49000000"
"61","Assam","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","98000000"
"62","West Bengal","Shri Biswajit Sinha (Rahul Sinha) (2026-32) (2026-2032)","Elected MP","49000000"
"63","Uttar Pradesh","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","196063957.11"
"64","Kerala","Shri C. Sadanandan Master (2025-31) (2025-2031)","Nominated MP","73500000"
"65","Maharashtra","Shri Chandrakant Damodar Handore (2024-30) (2024-2030)","Elected MP","147000000"
"66","Jammu And Kashmir","Shri Chowdry Mohammad Ramzan (2025-31) (2025-2031)","Elected MP","73500000"
"67","Tamil Nadu","Shri Christopher Manickam (2026-32) (2026-2032)","Elected MP","49356476.5"
"68","Rajasthan","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","147000000"
"69","Tamil Nadu","Shri Constandine Ravindran (2026-32) (2026-2032)","Elected MP","49356476.5"
"70","Telangana","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","239919406.11"
"71","Odisha","Shri Debashish Samantaray (2026-30) (2026-2030)","Elected MP","23800006"
"72","West Bengal","Shri Derek O' Brien (2023-29) (2023-2029)","Elected MP","171500000"
"73","Chhattisgarh","Shri Devendra Pratap Singh (2024-30) (2024-2030)","Elected MP","170837637.76"
"74","Maharashtra","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","220383643.11"
"75","Odisha","Shri Dilip Kumar Ray (2026-32) (2026-2032)","Elected MP","49000000"
"76","Sikkim","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","150170726.11"
"77","Karnataka","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","147000000"
"78","Rajasthan","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","196063957.11"
"79","Andhra Pradesh","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","147000000"
"80","Gujarat","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","147000000"
"81","Jammu And Kashmir","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","196063957.11"
"82","Jammu And Kashmir","Shri Gurwinder Singh Oberoi (2025-31) (2025-2031)","Elected MP","73500000"
"83","Punjab","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","220984094.27"
"84","Uttar Pradesh","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","226801049.11"
"85","Kerala","Shri Haris Beeran (2024-30) (2024-2030)","Elected MP","122500000"
"86","Himachal Pradesh","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","147000000"
"87","West Bengal","Shri Harsh Vardhan Shringla (2025-31) (2025-2031)","Nominated MP","73500000"
"88","Tamil Nadu","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","89248285.42"
"89","Tamil Nadu","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","220563957.11"
"90","Maharashtra","Shri Imran Pratapgarhi (2022-28) (2022-2028)","Elected MP","196000000"
"91","Gujarat","Shri Jagat Prakash Nadda (2024-30) (2024-2030)","Elected MP","147000000"
"92","Karnataka","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","196063957.11"
"93","Karnataka","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","220563957.11"
"94","Meghalaya","Shri James Pangsang Kongkal Sangma (2026-32) (2026-2032)","Elected MP","49000000"
"95","Uttar Pradesh","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","196063957.11"
"96","Uttar Pradesh","Shri Jayant Chaudhary (2022-28) (2022-2028)","Elected MP","214074707.67000002"
"97","Assam","Shri Jogen Mohan (2026-32) (2026-2032)","Elected MP","49000000"
"98","Kerala","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","122500000"
"99","Tamil Nadu","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","238513975.53"
"100","Tamil Nadu","Shri Kamal Haasan (2025-31) (2025-2031)","Elected MP","89248285.42"
"101","Assam","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","98000000"
"102","Uttar Pradesh","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","196063957.11"
"103","Haryana","Shri Karamvir Singh Singh Boudh (2026-32) (2026-2032)","Elected MP","49000000"
"104","Haryana","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","196000000"
"105","Gujarat","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","171500000"
"106","Mizoram","Shri Khiangte Laltluangkima (2026-32) (2026-2032)","Elected MP","24500000"
"107","Bihar","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","235770091.81"
"108","Tamil Nadu","Shri L. K. Sudhish (2026-32) (2026-2032)","Elected MP","49356476.5"
"109","Karnataka","Shri Lahar Singh Siroya (2022-28) (2022-2028)","Elected MP","206278088.11"
"110","Andhra Pradesh","Shri Lingamaneni Ramesh (2026-32) (2026-2032)","Elected MP","49000000"
"111","Karnataka","Shri M. Nagaraja (2026-32) (2026-2032)","Elected MP","49000000"
"112","Rajasthan","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","147000000"
"113","Uttarakhand","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","147000000"
"114","Madhya Pradesh","Shri Mahesh Kewat (2026-32) (2026-2032)","Elected MP","49000000"
"115","Karnataka","Shri Mallikarjun Kharge (2026-32) (2026-2032)","Elected MP","49063957.11"
"116","Bihar","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","235263957.11"
"117","Odisha","Shri Manas Ranjan Mangaraj (2022-28) (2022-2028)","Elected MP","196063957.11"
"118","Odisha","Shri Manmohan Samal (2026-32) (2026-2032)","Elected MP","49000000"
"119","Karnataka","Shri Mansoor Ali Khan (2026-32) (2026-2032)","Elected MP","49000000"
"120","Andhra Pradesh","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","171296045.11"
"121","Gujarat","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","147000000"
"122","Andhra Pradesh","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","147000000"
"123","Maharashtra","Shri Milind Murli Deora (2024-30) (2024-2030)","Elected MP","147000000"
"124","Uttar Pradesh","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","196063957.11"
"125","West Bengal","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","147000000"
"126","Rajasthan","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","196063957.11"
"127","West Bengal","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","171500000"
"128","Delhi","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","160837070"
"129","Karnataka","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","147450000"
"130","Uttarakhand","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","222043184.71"
"131","Uttar Pradesh","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","147000000"
"132","Rajasthan","Shri Neeraj Dangi (2026-32) (2026-2032)","Elected MP","49000000"
"133","Uttar Pradesh","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","236483662.11"
"134","Maharashtra","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","122500000"
"135","Bihar","Shri Nitin Nabin (2026-32) (2026-2032)","Elected MP","49000000"
"136","Tamil Nadu","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","236312242.52"
"137","Kerala","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","122500000"
"138","Tamil Nadu","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","89248285.42"
"139","Assam","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","220563957.11"
"140","Andhra Pradesh","Shri Paka Venkata Satyanarayana (2025-28) (2025-2028)","Elected MP","98000000"
"141","Maharashtra","Shri Parth Ajit Pawar (2026-32) (2026-2032)","Elected MP","49000000"
"142","Karnataka","Shri Pawan Khera (2026-32) (2026-2032)","Elected MP","49000000"
"143","Jharkhand","Shri Pradip Kumar Varma (2024-30) (2024-2030)","Elected MP","178564551.09"
"144","Maharashtra","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","147000000"
"145","West Bengal","Shri Prakash Chik Baraik (2026-29) (2026-2029)","Elected MP","49662892"
"146","Assam","Shri Pramod Boro (2026-32) (2026-2032)","Elected MP","49000000"
"147","Rajasthan","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","196063957.11"
"148","Tamil Nadu","Shri Praveen Chakravarthy (2026-28) (2026-2028)","Elected MP","49356476.5"
"149","Tamil Nadu","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","260812242.52"
"150","Tamil Nadu","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","236312242.52"
"151","Punjab","Shri Raghav Chadha (2022-28) (2022-2028)","Elected MP","237229207.25"
"152","West Bengal","Shri Rajeev Kumar (2026-32) (2026-2032)","Elected MP","49000000"
"153","Chhattisgarh","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","271174394.23"
"154","Gujarat","Shri Rajesh Parmanand Shukla (2026-32) (2026-2032)","Elected MP","49000000"
